dimension,top_words,explained_variance
75,ai | programming | week | class | follow | epicenter | marketing | canadian | stranger | blockchain,0.0019432319072772886
76,apple | giants | programming | property | geek | youtube | journey | cover | fireside | hards,0.0019284010908432216
77,county | social | 60 | minutes | success | mitchell | inside | write | book | books,0.0018998731479850258
78,county | canadian | time | guests | philosophy | help | soccer | betting | mitchell | friends,0.0018919173116136265
79,programming | day | audio | performance | series | fantasy | discuss | newbooksnetwork | en | australia,0.0018798697034475367
80,english | learn | christian | topics | dnvr | youtube | yorker | comedian | management | programming,0.0018674973561755967
81,county | today | building | listen | women | better | running | real | journey | 60,0.0018619993111250804
82,christian | band | anxiety | industry | going | fun | make | musical | artists | martial,0.0018493554677182528
83,live | journey | wine | discuss | best | exploration | public | stories | executive | scott,0.0018409980436420012
84,people | youtube | yorker | community | things | english | dumb | social | apple | law,0.0018343690862679023
85,brain | minutes | programming | christian | 60 | nan | change | en | online | best,0.0018208260786279917
86,canadian | teaching | county | nan | programming | today | classroom | life | wine | marketing,0.001802297630860318
87,local | world | apple | nutrition | geek | yorker | governments | basketball | people | govlove,0.0017948252193441298
88,ai | cover | national | today | like | philadelphia | property | school | football | https,0.0017817975989557625
89,strange | guests | day | computer | university | adhd | english | just | interviews | nan,0.001768375699800578
90,coffee | topics | governments | sex | audio | school | inside | nutrition | documentary | coaching,0.0017571058989660077
91,games | trance | en | make | county | morning | sex | minutes | management | college,0.001743862107736722
92,comedian | yorker | online | philosophy | doug | stanhope | school | coup | patreon | individuals,0.0017335203374893582
93,scott | private | time | services | bang | hosts | mysteries | aukerman | tune | dnvr,0.0017279132914396265
94,property | basketball | programming | healthcare | content | discuss | inside | canadian | entrepreneurship | write,0.001717864002124025
95,class | questions | martial | hosted | black | growth | philosophy | chicago | patreon | bills,0.0017094803584610091
96,museum | oregon | entrepreneurs | playing | ideas | dark | sex | games | live | public,0.0017046110771260965
97,uk | oregon | photography | latest | na | leading | canadian | learning | topics | personal,0.0016886792276770957
98,nutrition | conversations | women | space | episode | coffee | ll | experience | takes | production,0.001672395293814857
99,commentary | coffee | write | takes | story | trends | nutrition | org | public | income,0.0016669310665017253
